就職,しゅうしょく,,3,（しゅうしょく）⓪【名·自动3】就业，找到工作
ジュース,ジュース,,3,（juice）①【名】果汁，蔬菜汁
修正,しゅうせい,,3,（しゅうせい）⓪【名·他动3】修正，改正
重体,じゅうたい,,3,病危；重伤
渋滞,じゅうたい,,3,（じゅうたい）⓪【名·自动3】（交通）堵塞；进展不顺利
重大,じゅうだい,,3,（じゅうだい）⓪【ナ形】重大的，重要的；严重的
住宅,じゅうたく,,3,(じゅうたく0) 名词 住宅
集団,しゅうだん,,3,集团；集体
集中,しゅうちゅう,,3,(しゅうちゅう) 名词 集中
収入,しゅうにゅう,,3,(しゅうにゅう) 名词 收入，所得
住民,じゅうみん,,3,(じゅうみん) 名词 居民
重要,じゅうよう,,3,（じゅうよう）⓪【名·ナ形】重要
修理,しゅうり,,3,(しゅうり1) 名 修理
主義,しゅぎ,,3,（しゅぎ）①【名】主义；主张
宿泊,しゅくはく,,3,(しゅくはくする) 动3 住宿，投宿
手術,しゅじゅつ,,3,(しゅじゅつ) 名词 手术
首相,しゅしょう,,3,（しゅしょう）⓪【名】首相
手段,しゅだん,,3,(しゅだん) 名词 手段
主張,しゅちょう,,3,（しゅちょう）⓪【名·他动3】主张
出場,しゅつじょう,,3,（しゅつじょう）⓪【名·自动3】出场，登场
出身,しゅっしん,,3,（しゅっしん）⓪【名】出生地，籍贯；毕业学校
出版,しゅっぱん,,3,(しゅっぱんする) 动3 出版
首都,しゅと,,3,(しゅと1) 名词 首都
主婦,しゅふ,,3,(しゅふ) 名词 家庭主妇，主妇
主要,しゅよう,,3,(しゅよう0) 形容动词 主要
需要,じゅよう,,3,（じゅよう）⓪【名】需要，需求
種類,しゅるい,,3,（しゅるい）①【名】种类
順,じゅん,,3,(じゅん) 名词 顺序，次序
瞬間,しゅんかん,,3,（しゅんかん）⓪【名】瞬间，刹那，转眼
順調,じゅんちょう,,3,(じゅんちょう0) 形容动词 顺利，良好
順番,じゅんばん,,3,(じゅんばん0) 名词 顺序，次序
使用,しよう,,3,(しようする) 动3 使用
小,しょう,,3,小
章,しょう,,3,章节；勋章
賞,しょう,,3,(しょう1) 名 奖
上,じょう,,3,（うえ）⓪【名】（方位）上；（年龄）大
障害,しょうがい,,3,(しょうがい) 名词 残障，障碍；妨碍
奨学金,しょうがくきん,,3,（しょうがくきん）⓪【名】奖学金
乗客,じょうきゃく,,3,(じょうきゃく) 名词 乘客
上京,じょうきょう,,3,(じょうきょうする) 动3 到东京去，进京
状況,じょうきょう,,3,(じょうきょう) 名词 情况，状况
条件,じょうけん,,3,(じょうけん) 名词 条件，提前
正午,しょうご,,3,(しょうご) 名词 正午
正直,しょうじき,,3,(しょうじき) 形容动词 老实，诚实
常識,じょうしき,,3,(じょうしき) 名词 常识，常情
少女,しょうじょ,,3,少女
少々,しょうしょう,,3,（しょうしょう）①【副】少许，稍微
症状,しょうじょう,,3,（しょうじょう）③【名】症状，病情
生じる,しょうじる,,3,（しょうじる）⓪【自他动2】生，长；产生，发生；引起
状態,じょうたい,,3,(じょうたい) 名词 状态
上達,じょうたつ,,3,(じょうたつ) 名词 进步，长进
冗談,じょうだん,,3,(じょうだん) 名词 玩笑；戏言；笑话
上等,じょうとう,,3,（じょうとう）⓪【名·ナ形】上等，高级；优秀
衝突,しょうとつ,,3,(しょうとつ) 名词 撞上，冲突，矛盾
商人,しょうにん,,3,（しょうにん）①【名】商人，生意人
承認,しょうにん,,3,（しょうにん）⓪【名·他动3】承认；批准
少年,しょうねん,,3,(しょうねん) 名词 少年
商売,しょうばい,,3,(しょうばい) 名词 生意，买卖
消費,しょうひ,,3,(しょうひ) 名词 消费
商品,しょうひん,,3,（しょうひん）①【名】商品
賞品,しょうひん,,3,(しょうひん3) 名词 奖品
消防,しょうぼう,,3,消防
情報,じょうほう,,3,(じょうほう) 名词 信息，消息，情报
証明,しょうめい,,3,（しょうめい）⓪【名·他动3】证明
省略,しょうりゃく,,3,（しょうりゃく）⓪【名·他动3】省略
女王,じょおう,,3,女王
職,しょく,,3,（しょく）⓪【名】职务；职业，工作
職業,しょくぎょう,,3,(しょくぎょう3) 名词 职业
食卓,しょくたく,,3,（しょくたく）⓪【名】餐桌
食品,しょくひん,,3,(しょくひん1) 名词 食品
植物,しょくぶつ,,3,(しょくぶつ2) 名词 植物
食物,しょくもつ,,3,（しょくもつ）②【名】食物，食品
食欲,しょくよく,,3,(しょくよく) 名词 食欲
食料,しょくりょう,,3,(しょくりょう) 名词 食品，食物
食糧,しょくりょう,,3,(しょくりょう) 名词 粮食，食粮
書斎,しょさい,,3,书房
女子,じょし,,3,(じょし) 名词 女子．女生，女孩子
助手,じょしゅ,,3,（じょしゅ）⓪【名】助手
徐々に,じょじょに,,3,(じょじょに) 副词 渐渐，逐步
署名,しょめい,,3,(しょめい) 名词 署名，签名
