踏む,ふむ,,2,（ふむ）⓪【他动1】踏，踩
すっと,すっと,,2,唰地；轻快地
盗む,ぬすむ,,2,（ぬすむ）②【他动1】偷，偷盗
大抵,たいてい,,2,（たいてい）⓪【副】大部分，大都；大概
とうとう,とうとう,,2,①【副】终于，终究
ガソリン,ガソリン,,2,(ガソリン0) 名词 汽油
鳴る,なる,,2,（なる）⓪【自动1】响，发出声音
しっかり,しっかり,,2,③【副·自动3】健壮，结实；可靠；扎实，充分
生きる,いきる,,2,（いきる）②【自动2】生活，生存
苦い,にがい,,2,（にがい）②【イ形】（味道）苦的；痛苦的
沸く,わく,,2,(わく0) 动1 沸腾，烧开
意見,いけん,,2,（いけん）①【名·自他动3】意见；提建议，劝告
やはり; やっぱり,やはり; やっぱり,,3,仍然；果然
漫画,まんが,,2,（まんが）⓪【名】漫画
ステレオ,ステレオ,,2,（stereo）⓪【名】立体声，立体声设备
医学,いがく,,2,（いがく）①【名】医学
テキスト,テキスト,,2,（text）①【名】课本，教科书
折る,おる,,2,（おる）①【他动1】折，折断；折叠
うかがう,うかがう,,2,请教；拜访（谦让语）
聞こえる,きこえる,,2,（きこえる）⓪【自动2】听得见，听到
僕,ぼく,,2,（ぼく）①【代】（男性自称）我
必ず,かならず,,2,（かならず）⓪【副】一定，必定
壊す,こわす,,2,（こわす）②【他动1】弄坏；破坏
怒る,おこる,,2,（おこる）②【自动1】生气，发怒，发火
床屋,とこや,,2,（とこや）⓪【名】理发店
オートバイ,オートバイ,,3,③【名】摩托车
運動,うんどうする,,3,（うんどう）⓪【名·自动3】运动
止む,やむ,,2,停止（雨雪等）
もし,もし,,2,如果
表,おもて,,2,（おもて）③【名】表面，正面；外表，外观
大学生,だいがくせい,,3,(だいがくせい) 名词 大学生
運転手,うんてんしゅ,,3,(うんてんしゅ3) 名 司机
予習,よしゅう,,3,（よしゅう）⓪【名·他动3】预习
心配,しんぱいする,,3,（しんぱい）⓪【名·ナ形·自他动3】担心，挂念
別,べつ,,2,(べつ) 名词 其他，另外
非常に,ひじょうに,,3,（ひじょうに）⓪【副】非常，特别
お宅,おたく,,2,（おたく）⓪【名】（您）府上；宅在家里
柔らかい,やわらかい,,2,（やわらかい）④【イ形】柔和的，柔软的
拾う,ひろう,,2,（ひろう）⓪【他动1】拾，捡；选出，挑选
気,き,,2,(き) 名词 气；心情，情绪；精神
比べる,くらべる,,2,(くらべる0) 动2  相比，比较，对比
ほとんど,ほとんど,,2,(ほとんど2) 名词 基本上，几乎
つもり,つもり,,2,打算
郊外,こうがい,,2,(こうがい) 名词 郊外，郊区
だめ,だめ,,2,不行；不可以
売り場,うりば,,2,（うりば）⓪【名】柜台，售货处
正月,しょうがつ,,3,(しょうがつ5) 名词 正月；新年
規則,きそく,,2,（きそく）①【名】规则
うん,うん,,2,对（不如はい礼貌）
発音,はつおん,,2,（はつおん）⓪【名·他动3】发音
焼く,やく,,2,（やく）⓪【他动1】烧，烤；（皮肤）晒黑
屋上,おくじょう,,3,（おくじょう）⓪【名】屋顶
失礼,しつれい,,2,(しつれい) 名词 失礼，失敬；告辞
ごみ,ごみ,,2,②【名】垃圾
アフリカ,アフリカ,,2,(アフリカ0) 专有词 非洲
点,てん,,2,(てん0) 名词 点，方面
一生懸命,いっしょうけんめい,,3,（いっしょうけんめい）⑤【副·ナ形】努力，拼命
今度,こんど,,2,（こんど）①【名】这次；下次
機会,きかい,,2,（きかい）②【名】机会
建てる,たてる,,2,（たてる）②【他动2】建，盖
複雑,ふくざつ,,2,（ふくざつ）⓪【名·ナ形】复杂
彼,かれ,,2,(かれ1) 他，男朋友，情人
いらっしゃる,いらっしゃる,,3,④【自动1】（尊他语）来；去；在
布団,ふとん,,2,(ふとん0) 名词 被褥，铺盖
大事,だいじ,,2,（だいじ）③【名·ナ形】重要，宝贵；珍视
贈り物,おくりもの,,2,礼物
泥棒,どろぼう,,2,（どろぼう）⓪【名】小偷，盗贼
注意,ちゅうい,,3,（ちゅうい）①【名·自动3】注意，留神；提醒，警告
台風,たいふう,,2,（たいふう）③【名】台风
日,ひ,,2,（ひ）①【名】太阳；日子，日期
そう,そう,,2,是的
通る,とおる,,2,（とおる）①【自动1】通过，经过
過ぎる,すぎる,,2,（すぎる）②【自动2】经过；（时间）流逝；超过
レポート; リポート,レポート; リポート,,3,报告
葉,は,,2,（は）⓪【名】叶，叶子
必要,ひつよう,,2,（ひつよう）⓪【名·ナ形】必要，必需
課長,かちょう,,3,（かちょう）⓪【名】课长，科长
地震,じしん,,2,（じしん）⓪【名】地震
すると,すると,,2,(すると) 接续词 于是，接着
止める,やめる,,2,（とめる）⓪【他动2】使停止，使停下
ガラス,ガラス,,2,玻璃
厳しい,きびしい,,2,（きびしい）③【イ形】严格的，严厉的；严峻的
エスカレーター,エスカレーター,,3,（escalator）④【名】自动扶梯
人口,じんこう,,2,（じんこう）⓪【名】人口
月,つき,,2,（つき）②【名】月亮
絹,きぬ,,2,(きぬ) 名词 丝绸，绸子；（蚕）丝
ちっとも,ちっとも,,2,(ちっとも) 副词 一点儿（也不），毫（无）
深い,ふかい,,2,（ふかい）②【イ形】深的；（颜色、程度等）深的，浓的
壊れる,こわれる,,2,（こわれる）③【自动2】坏，出故障
揺れる,ゆれる,,2,（ゆれる）⓪【自动2】摇晃，动摇
落る,おちる,,2,掉落；脱落
できるだけ,できるだけ,,2,⓪【副】尽量，尽可能
悲しい,かなしい,,2,（かなしい）③【イ形】悲伤的
中学校,ちゅうがっこう,,3,(ちゅうがっこう2) 名词 初级中学，初中
ガス,ガス,,2,(ガス1) 名词 天然气，煤气
祈る,いのる,,2,(いのる) 动1 祝愿，祈求
盛ん,さかん,,2,(さかん0) 形容动词 兴盛，旺盛，热烈
アルバイト,アルバイト,,2,③【名·自动3】打工，兼职
起こす,おこす,,2,（おこす）②【他动1】叫醒，唤醒；引起
致す,いたす,,2,（いたす）②【他动1】(する的自谦语）做
噛む,かむ,,2,（かむ）①【他动1】咬，嚼
赤ちゃん,あかちゃん,,3,（あかちゃん）①【名】婴儿
浅い,あさい,,2,（あさい）⓪【イ形】浅的；（颜色、程度等）浅的，淡的
嘘,うそ,,2,（うそ）①【名】谎言，假话
小説,しょうせつ,,3,（しょうせつ）⓪【名】小说
親,おや,,2,（おや）②【名】父母，双亲
それに,それに,,2,⓪【接续】而且
西洋,せいよう,,2,(せいよう1) 名词 西方，西洋
思う,おもう,,2,（おもう）②【他动1】想，思考；觉得；思念
パート (タイム),パート (タイム),,3,钟点工；兼职
時代,じだい,,2,（じだい）⓪【名】时代
申し上げる,もうしあげる,,3,说；告诉（谦让语）
出席,しゅっせきする,,3,（しゅっせき）⓪【名·自动3】出席
迎える,むかえる,,2,（むかえる）⓪【他动2】迎接
触る,さわる,,2,（さわる）⓪【自动1】触，碰
建て,～だて,,2,……造式（房屋样式）
社長,しゃちょう,,3,（しゃちょう）⓪【名】社长，总经理
動物園,どうぶつえん,,3,（どうぶつえん）④【名】动物园
捕まえる,つかまえる,,2,(つかまえる) 动2 捉住，逮住；抓住
季節,きせつ,,2,（きせつ）①【名】季节
